"Panel/Rack TV 50 Pulgadas Decocasa Oslo Off White","1174179","sku:1174179
Marca:DECOCASA
Tipo de producto:Muebles de living
Modelo:Oslo
Cantidad de patas:4
Cantidad de puertas:3
Cantidad de repisas:3
Alto del producto:187 CM
Ancho del producto:182 CM
Profundidad del producto:38 CM
Espesor del producto:25 MM
Peso con empaque:78,36 KG
Material de la estructura:MDF
Material de las patas:MDF
Color de la estructura:Off White
Acabado:Pintura UV
País de origen:Brasil
Requiere armado:Si
Manual de armado incluido:Si
Servicio de armado incluido:No
Garantía del proveedor:6 meses
Cantidad de bultos:3
Incluye sistema de anclaje:Si
Material de la cubierta:MDF
Perforaciones para cables:Si
Capacidad para TV:Hasta 50 Pulgadas","panel-rack-tv-50-pulgadas-decocasa-oslo-off-white-1174179","349990"
"Hidrolavadora 1400W + Pulidora 120W Black+Decker BW14-KP12K","1174136","sku:1174136
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Hidrolavadora
Modelo:BW14-KP12K
Alto del producto:68,5 CM
Ancho del producto:26 CM
Largo del producto:29 CM
Peso del producto:7,5 KG
Incluye:
Información adicional:
Características adicionales:
Garantía del proveedor:6 meses","hidrolavadora-1400w-pulidora-120w-black-decker-bw14-kp12k-1174136","129577"
"Esmeril Black+Decker Angular 4-1/2 820w G720-b2c ","1174099","sku:1174099
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramienta
GTIN:885911154215
Modelo:G720-B2C
Alto del empaque:25 CM
Ancho del empaque:33 CM
Peso con empaque:13,8 KG
Alto del producto:11 CM
Ancho del producto:12,5 CM
Largo del producto:31,5 CM
Peso del producto:2,2 KG
Alimentación:Electrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","esmeril-black-decker-angular-4-1-2-820w-g720-b2c-1174099","31919"
"Panel TV 50 Pulgadas Decocasa Allure Off White","1174167","sku:1174167
Marca:DECOCASA
Tipo de producto:Muebles de living
Modelo:Allure
Cantidad de repisas:1
Alto del producto:134 CM
Ancho del producto:180 CM
Profundidad del producto:18 CM
Espesor del producto:25 MM
Peso con empaque:37,7 KG
Material de la estructura:MDF
Material de las patas:MDF
Color de la estructura:Off White
Acabado:Pintura UV
País de origen:Brasil
Requiere armado:Si
Manual de armado incluido:Si
Servicio de armado incluido:No
Garantía del proveedor:6 meses
Cantidad de bultos:1
Incluye sistema de anclaje:Si
Material de la cubierta:MDF
Perforaciones para cables:Si
Capacidad para TV:Hasta 50 Pulgadas","panel-tv-50-pulgadas-decocasa-allure-off-white-1174167","149990"
"Atornillador Black+Decker Inalámbrico 9036-B2C Naranjo","1174080","sku:1174080
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911251945
Modelo:9036-B2C
Alto del empaque:17,5 CM
Ancho del empaque:24 CM
Peso con empaque:4,2 KG
Alto del producto:15 CM
Ancho del producto:5,5 CM
Largo del producto:22 CM
Peso del producto:0,7 KG
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","atornillador-black-decker-inalambrico-9036-b2c-naranjo-1174080","24406"
"Home TV 75 Pulgadas Decocasa Varese Off White","1174165","sku:1174165
Marca:DECOCASA
Tipo de producto:Muebles de living
Modelo:Varese
Cantidad de puertas:2
Cantidad de repisas:7
Alto del producto:192 CM
Ancho del producto:216 CM
Profundidad del producto:45 CM
Espesor del producto:25 MM
Peso con empaque:83,22 KG
Material de la estructura:MDF
Material de las patas:MDF
Color de la estructura:Off White
Acabado:Pintura UV
País de origen:Brasil
Requiere armado:Si
Manual de armado incluido:Si
Servicio de armado incluido:No
Garantía del proveedor:6 meses
Cantidad de bultos:2
Incluye sistema de anclaje:Si
Material de la cubierta:MDF
Perforaciones para cables:Si
Capacidad para TV:Hasta 75 Pulgadas
Espesor del vidrio:20 MM","home-tv-75-pulgadas-decocasa-varese-off-white-1174165","509990"
"Orilladora de Corte Black+Decker 27,5 CM 600W GL600N-B2C","1174112","sku:1174112
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911357258
Modelo:GL600N-B2C
Alto del empaque:26 CM
Ancho del empaque:40 CM
Peso con empaque:12,7 KG
Alto del producto:11,5 CM
Ancho del producto:18,5 CM
Largo del producto:78 CM
Peso del producto:2,9 KG
Alimentación:Eléctrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","orilladora-de-corte-black-decker-27-5-cm-600w-gl600n-b2c-1174112","62905"
"Sopladora Aspiradora 2500W Black+Decker BV25-B2C","1174141","sku:1174141
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911417549
Modelo:BV25-B2C
Alto del producto:34 CM
Ancho del producto:30,5 CM
Largo del producto:55 CM
Peso del producto:5,5 KG
Incluye:1 tubo de soplado. 1 tubo de aspiración. 1 bolsa para recolección
Información adicional:
Garantía del proveedor:6 meses","sopladora-aspiradora-2500w-black-decker-bv25-b2c-1174141","75113"
"Conversor Eléctrico 400W Black+Decker PI400LA-B2C","1174122","sku:1174122
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911307840
Modelo:PI400LA-B2C
Alto del empaque:35 CM
Ancho del empaque:25 CM
Alto del producto:6 CM
Ancho del producto:22 CM
Largo del producto:24 CM
Peso del producto:0,9 KG
Incluye:2 Pinza de batería, 1 Enchufe CC 12V
Información adicional:
Garantía del proveedor:6 meses","conversor-electrico-400w-black-decker-pi400la-b2c-1174122","52577"
"Juego de Mesa Devir - Taco Gorro Torta Caja Pizza","1174219","sku:1174219
Marca:DEVIR
Tipo de producto:Juegos de mesa
Garantía del proveedor:6 meses
Alto del empaque:8 CM
Ancho del empaque:15 CM
Profundidad del empaque:4 CM
Edad recomendada:+ 8 años
Tiempo de juego:10 - 15 minutos
Cantidad de usuarios:2 - 8 jugadores
Información adicional:
Características adicionales:","juego-de-mesa-devir-taco-gorro-torta-caja-pizza-1174219","9990"
"Taladro Percutor 1/2 Pulgada 550W Black+Decker HD555-B2C","1174159","sku:1174159
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911453448
Modelo:HD555-B2C
Alto del producto:7 CM
Ancho del producto:25,5 CM
Largo del producto:28 CM
Peso del producto:2,1 KG
Longitud del cable:1,8 M
Incluye:1 Empuñadura lateral. 1 Barra lateral. 1 Llave
Información adicional:
Garantía del proveedor:6 meses","taladro-percutor-1-2-pulgada-550w-black-decker-hd555-b2c-1174159","34735"
